proto,packets_count,total_fiat,f_pkts_num,min_fiat,min_biat,flow_packets_per_second,f_min_pkt_size,f_max_pkt_size,b_min_pkt_size,diag_step_fiat,diag_step_biat,diag_steps,tcp_syn_count,tcp_ack_count,tcp_rst_count,tcp_fin_count,tcp_urg_count,tcp_retr_count,pktiat_0,pktiat_1,pktiat_2,pktiat_7,pktiat_9,pktlen_1,pktlen_5,pktlen_6,pktlen_7,pktlen_8,pktlen_9,type
6,10,0.1682229042053222,5,0.0004990100860595,2.193450927734375e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003704071044921875,0.0002148151397705078,2.193450927734375e-05,0.1599118709564209,66,66,393,128,66,164,0
6,10,0.195307970046997,5,0.0034680366516113,2.2172927856445312e-05,0,66,735,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003910064697265625,9.703636169433594e-05,2.2172927856445312e-05,0.18118000030517578,66,66,393,128,66,164,0
6,10,0.3721780776977539,5,0.000309944152832,4.1961669921875e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003823995590209961,0.00018405914306640625,4.1961669921875e-05,0.3640329837799072,66,66,393,128,66,164,0
6,10,0.0084481239318847,4,0.0005009174346923,1.9073486328125e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038280487060546875,0.00043702125549316406,0.00014591217041015625,0.0036749839782714844,66,66,461,66,146,66,0
6,10,0.221431016921997,5,0.0003740787506103,2.694129943847656e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036840438842773438,0.00021696090698242188,2.6941299438476562e-05,0.21228408813476562,66,66,393,128,66,164,0
6,10,0.257659912109375,5,0.0004091262817382,1.5974044799804688e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003531932830810547,0.00025010108947753906,1.5974044799804688e-05,0.24946093559265137,66,66,393,128,66,164,0
6,10,0.2411050796508789,5,0.0003919601440429,1.2159347534179688e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.004411935806274414,4.220008850097656e-05,1.2159347534179688e-05,0.23130106925964355,66,66,393,128,66,164,0
6,10,0.0084059238433837,5,2.694129943847656e-05,1.1205673217773438e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.003628969192504883,0.0003211498260498047,0.00043201446533203125,0.00373077392578125,66,66,66,461,66,146,0
6,10,0.0125138759613037,5,0.0001068115234375,2.694129943847656e-05,0,66,583,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0036530494689941406,0.00011682510375976562,0.0005710124969482422,0.007732868194580078,66,66,66,461,66,146,0
6,10,0.2211520671844482,5,0.0010898113250732,2.002716064453125e-05,0,66,734,66,4.701142597198486,4.701088118553161,4.701142597198486,0,10,0,0,0,10,0.0,0.0038728713989257812,0.0001380443572998047,2.002716064453125e-05,0.21247315406799316,66,66,393,128,66,164,0
